state,processing_score,processing_text,tabulation_score,tabulation_text,,days_processing,days_tabulation
AL,3,morning election day,4,after polls close,,1,0
AK,2,seven days before election day,4,after polls close,,8,0
AR,2,seven days before election day,3,morning of election day,,8,1
AZ,1,upon receipt,1,upon receipt,,31,31
CA,2,twenty nine days before election day,4,after polls close,,30,0
CO,1,upon receipt,2,fifteen days before election day,,31,16
CT,,discretion of LEO,,discretion of LEO,,,
DE,2,Friday before election day,4,after polls close,,5,5
FL,1,upon receipt,2,twenty five days before election day,,31,26
GA,2,third Monday before election day,3,morning of election day,,24,1
HI,1,upon receipt,2,eighteen days before election day,,31,19
ID,1,upon receipt,4,after polls close,,31,0
IL,1,upon receipt,4,after polls close,,31,0
IN,1,upon receipt,3,morning of election day,,31,1
IA,3,day before election day,3,day before election,,2,2
KS,3,day before election day,3,day before election,,2,2
KY,2,fourteen days before election day,2,fourteen days before election day,,15,15
LA,3,one to three days before election day,3,morning of election day,,3,1
ME,2,seven days before election day,4,after polls close,,8,0
MD,4,after polls close,4,Thursday after election,,0,-9
MA,1,upon receipt,3,morning of election day,,31,1
MI,3,morning election day,3,morning of election day,,1,1
MN,1,upon receipt,4,after polls close,,31,0
MS,3,morning election day,4,after polls close,,1,0
MO,2,five days before election day,3,morning of election day,,6,1
MT,1,upon receipt,3,morning of election day,,31,1
NE,2,second Friday before election day,3,day before election,,12,1
NV,1,upon receipt,2,fifteen days before election,,31,15
NH,3,afternoon of election day,4,after polls close,,0.5,0
NJ,1,upon receipt,3,morning of election day,,31,1
NM,2,five to fourteen days before election,3,day before election,,10,2
NY,2,within three days of receipt,4,after polls close,,28,0
NC,1,upon receipt,3,morning of election day,,31,1
ND,3,three days before election,4,after polls close,,4,0
OH,3,before election day,3,before election day,,1,1
OK,2,Thursday before election,3,morning of election day,,6,1
OR,1,upon receipt,3,before election day,,31,2
PA,3,morning election day,3,morning of election day,,1,1
RI,2,fourteen days before election day,4,after polls close,,15,0
SC,3,morning election day,3,morning of election day,,1,1
SD,3,morning election day,4,after polls close,,1,0
TN,1,upon receipt,3,morning of election day,,31,1
TX,3,no more than 20 days before election day; varies,3,morning of election day,,10,1
UT,3,morning election day,3,morning of election day,,1,1
VT,2,up to thirty days before election day,4,after polls close,,30,0
VA,1,upon receipt,4,after polls close,,31,0
WA,1,upon receipt,4,after polls close,,31,0
WV,4,after polls close,4,after polls close,,0,0
WI,3,morning election day,3,morning of election day,,1,1
WY,2,Thursday before election,3,morning of election day,,6,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
